IE_XML_ID;Цвет;дет_описание;пол;тг;блок;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг)
500123574;черный;;Женский;Туфли;Обувь;Всесезонная;221161;Замшевые женские туфли;замша;замша;98135;натуральная кожа;натуральная кожа;черный
500123896;молочный;;Женский;Туфли;Обувь;Всесезонная;221161;Молочные женские туфли;натуральная кожа;натуральная кожа;98135;натуральная кожа;натуральная кожа;молочный
500123576;черный;;Женский;Туфли;Обувь;Всесезонная;221162;Женские туфли на шпильке;кожа / лаковая кожа;натуральная кожа;98136;натуральная кожа;натуральная кожа;черный
500123577;бежевый;;Женский;Туфли;Обувь;Всесезонная;221162;Женские туфли на шпильке;кожа / лаковая кожа;натуральная кожа;98136;натуральная кожа;натуральная кожа;бежевый / черный
500123579;серый;;Женский;Туфли;Обувь;Всесезонная;221162;Женские туфли на шпильке;замша;замша;98136;натуральная кожа;натуральная кожа;серый / никель
500123897;черный;;Женский;Туфли;Обувь;Всесезонная;221162;Женские туфли на шпильке;замша / кожа;замша;98136;натуральная кожа;натуральная кожа;черный / серебряный
500123580;серый;;Женский;Туфли;Обувь;Всесезонная;221163;Серые женские туфли;замша;замша;98137;натуральная кожа;натуральная кожа;серый
500123581;черный;;Женский;Туфли;Обувь;Всесезонная;221163;Женские туфли на шпильке;замша;замша;98137;натуральная кожа;натуральная кожа;черный
500123585;розовый;;Женский;Туфли;Обувь;Всесезонная;221164;Розовые туфли замша;замша;замша;98138;натуральная кожа;натуральная кожа;розовый
500123586;черный;;Женский;Туфли;Обувь;Всесезонная;221164;Туфли из натуральной кожи;натуральная кожа;натуральная кожа;98138;натуральная кожа;натуральная кожа;черный
500123857;серый;;Женский;Ботильоны;Обувь;Лето;221166;Серые замшевые ботильоны;замша;замша;98139;натуральная кожа;натуральная кожа;серый
500123858;черный;;Женский;Ботильоны;Обувь;Лето;221166;Черные женские ботильоны;замша;замша;98140;натуральная кожа;натуральная кожа;черный
500123900;розовый;;Женский;Ботильоны;Обувь;Лето;221166;Розовые женские ботильоны;замша;замша;98140;натуральная кожа;натуральная кожа;розовый
500124072;черный;;Женский;Полуботинки;Обувь;Весна-осень;221166;Черные женские полуботинки;замша;замша;98141;натуральная кожа;натуральная кожа;черный
500124073;черный;;Женский;Сабо;Обувь;Весна-осень;221167;Женские сабо кожа;натуральная кожа;натуральная кожа;98142;натуральная кожа;натуральная кожа;черный
500124074;черный;;Женский;Туфли;Обувь;Весна-осень;221168;Черные женские туфли;натуральная кожа;натуральная кожа;98143;натуральная кожа;натуральная кожа;черный
500124076;голубой;;Женский;Туфли;Обувь;Весна-осень;221168;Голубые женские туфли;замша;замша;98144;натуральная кожа;натуральная кожа;голубой
500124075;розовый;;Женский;Туфли;Обувь;Весна-осень;221168;Розовые туфли замша;замша;замша;98144;натуральная кожа;натуральная кожа;розовый
