IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500123477;Лето;221150;Женские сабо кожа;натуральная кожа;натуральная кожа;98115;натуральная кожа;натуральная кожа;черный;черный
500123478;Лето;221150;Женские сандалии;натуральная кожа;натуральная кожа;98116;натуральная кожа;натуральная кожа;разноцветный;разноцветный
500123479;Лето;221150;Женские сандалии из кожи;натуральная кожа;натуральная кожа;98116;натуральная кожа;натуральная кожа;белый / оранжевый / серый;разноцветный
500123483;Лето;221150;Белые женские сандалии;натуральная кожа;натуральная кожа;98117;натуральная кожа;натуральная кожа;белый;белый
500123484;Лето;221150;Черные женские сандалии;натуральная кожа;натуральная кожа;98118;натуральная кожа;натуральная кожа;черный;черный
500123485;Лето;221150;Розовые женские сандалии;натуральная кожа;натуральная кожа;98118;натуральная кожа;натуральная кожа;розовый;розовый
500123487;Лето;221151;Серебряные женские босоножки;натуральная кожа;натуральная кожа;98119;натуральная кожа;натуральная кожа;серебряный;серебряный
500123490;Лето;221151;Красные женские босоножки;замша;замша;98120;натуральная кожа;натуральная кожа;красный;красный
500123494;Лето;221151;Розовые туфли замша;замша;замша;98121;натуральная кожа;натуральная кожа;розовый;розовый
500123495;Лето;221151;Женские туфли замша;замша;замша;98121;натуральная кожа;натуральная кожа;черный;черный
500123496;Лето;221151;Бежевые женские туфли;натуральная кожа;натуральная кожа;98121;натуральная кожа;натуральная кожа;бежевый;бежевый
500123492;Лето;221151;Лаковые босоножки на каблуке;лакированная кожа;лаковая кожа;98122;натуральная кожа;натуральная кожа;черный;черный
500123493;Лето;221151;Бежевые босоножки на каблуке;лакированная кожа;лаковая кожа;98123;натуральная кожа;натуральная кожа;бежевый;бежевый
500123498;Лето;221152;Женские туфли кожа;натуральная кожа;натуральная кожа;98124;натуральная кожа;натуральная кожа;черный;черный
500123499;Лето;221152;Бежевые женские туфли;натуральная кожа;натуральная кожа;98124;натуральная кожа;натуральная кожа;бежевый;бежевый
500123504;Всесезонная;221152;Женские туфли металлик;натуральная кожа;натуральная кожа;98125;натуральная кожа;натуральная кожа;никель;серый
500123505;Всесезонная;221152;Туфли из натуральной кожи;натуральная кожа;натуральная кожа;98125;натуральная кожа;натуральная кожа;черный;черный
500123854;Всесезонная;221152;Бежевые туфли кожа;натуральная кожа;натуральная кожа;98126;натуральная кожа;натуральная кожа;бежевый;бежевый
500123518;Лето;221154;Молочные женские босоножки;натуральная кожа;натуральная кожа;98127;натуральная кожа;натуральная кожа;молочный;молочный
500123519;Лето;221154;Бронзовые женские босоножки;натуральная кожа;натуральная кожа;98127;натуральная кожа;натуральная кожа;бронзовый;коричневый
500123521;Лето;221154;Розовые женские босоножки;натуральная кожа;натуральная кожа;98127;натуральная кожа;натуральная кожа;розовый;розовый
500123520;Лето;221154;Женские босоножки;натуральная кожа;натуральная кожа;98128;натуральная кожа;натуральная кожа;разноцветный;разноцветный
500123522;Лето;221154;Голубые женские босоножки;натуральная кожа;натуральная кожа;98128;натуральная кожа;натуральная кожа;голубой;голубой
500123855;Лето;221154;Кожаные босоножки;натуральная кожа;натуральная кожа;98128;натуральная кожа;натуральная кожа;черный;черный
500123530;Лето;221155;Зеленые женские туфли;замша;замша;98129;натуральная кожа;натуральная кожа;зеленый;зеленый
500123535;Лето;221155;Женские туфли кожа;натуральная кожа;натуральная кожа;98130;натуральная кожа;натуральная кожа;черный;черный
500123539;Лето;221155;Бежевые туфли на танкетке;натуральная кожа;натуральная кожа;98130;натуральная кожа;натуральная кожа;бежевый;бежевый
500123538;Лето;221155;Лаковые туфли на танкетке;лакированная кожа;лаковая кожа;98131;натуральная кожа;натуральная кожа;голубой;голубой
500123540;Лето;221155;Лаковые туфли на танкетке;лакированная кожа;лаковая кожа;98131;натуральная кожа;натуральная кожа;розовый;розовый
